Terminal Number,X,Y,,,,,,,,
7,27.604,23.301,,,,,,,,
7,5.539,14.789,,,,,,,,
7,6.219,14.291,,,,,,,,
2,27.604,23.301,,,,,,,,
7,28.725,36.500,,,,,,,,
2,27.604,23.301,,,,,,,,
1,14.804,22.640,,,,,,,,
5,14.804,22.640,,,,,,,,
5,1.149,1.524,,,,,,,,
5,25.617,33.966,,,,,,,,
2,12.195,20.036,,,,,,,,
6,10.052,17.833,,,,,,,,
6,24.954,32.016,,,,,,,,
1,1.536,12.538,,,,,,,,
4,20.988,30.570,,,,,,,,
2,20.988,30.570,,,,,,,,
2,2.648,2.840,,,,,,,,
2,5.539,14.789,,,,,,,,
7,22.013,31.280,,,,,,,,
4,1.659,2.113,,,,,,,,
4,2.803,9.373,,,,,,,,
2,0.540,2.552,,,,,,,,
5,23.609,33.585,,,,,,,,
5,28.796,37.294,,,,,,,,
4,13.087,20.434,,,,,,,,
2,14.804,22.640,,,,,,,,
1,27.344,37.214,,,,,,,,
4,9.425,21.123,,,,,,,,
1,28.741,36.700,,,,,,,,
